time_s,ball_grey,servo_grey,ball_black,servo_black,Kp,Ki,Kd,r_0
3.56,243.547337268417,-10.4295765349733,252.53190167897,0.630687591122903,-1.2,-0.01,-0.7,379
3.57,243.428683398646,-10.4295765349733,252.44169523668,0.630687591122903,-1.2,-0.01,-0.7,379
3.58,243.320707414993,-10.4295765349733,252.349420609636,0.630687591122903,-1.2,-0.01,-0.7,379
3.59,243.226034553637,-10.4295765349733,252.255102795124,0.630687591122903,-1.2,-0.01,-0.7,379
3.599,243.15432097984,-9.19605253590923,252.16848976817,0.630687591122903,-1.2,-0.01,-0.7,379
3.6,243.147223510373,-9.19605253590923,252.158765720686,0.630687591122903,-1.2,-0.01,-0.7,379
3.605,243.114521738571,-9.19605253590923,252.10984715223,0.630687591122903,-1.2,-0.01,-0.7,379
3.61,243.086658060703,-9.19605253590923,252.060432299518,0.630687591122903,-1.2,-0.01,-0.7,379
3.62,243.046408505682,-9.19605253590923,251.960124482376,0.630687591122903,-1.2,-0.01,-0.7,379
3.63,243.028172186333,-9.19605253590923,251.857863306228,0.630687591122903,-1.2,-0.01,-0.7,379
3.64,243.033307979909,-9.19605253590923,251.753668939868,0.630687591122903,-1.2,-0.01,-0.7,379
3.65,243.06287944672,-9.19605253590923,251.647560726711,0.630687591122903,-1.2,-0.01,-0.7,379
3.658,243.104683014988,-2.10455409848967,251.561308821385,0.630687591122903,-1.2,-0.01,-0.7,379
3.66,243.117697986526,-2.10455409848967,251.539557224961,0.630687591122903,-1.2,-0.01,-0.7,379
3.67,243.198277691801,-2.10455409848967,251.42967624535,0.630687591122903,-1.2,-0.01,-0.7,379
3.68,243.304396273805,-2.10455409848967,251.317934886628,0.630687591122903,-1.2,-0.01,-0.7,379
3.69,243.435027793753,-2.10455409848967,251.204349568951,0.630687591122903,-1.2,-0.01,-0.7,379
3.7,243.588622996445,-2.10455409848967,251.088936065346,0.630687591122903,-1.2,-0.01,-0.7,379
3.71,243.763340250387,-2.10455409848967,250.97170953136,0.630687591122903,-1.2,-0.01,-0.7,379
3.717,243.897160744387,8.83650409190298,250.888580121697,0.630687591122903,-1.2,-0.01,-0.7,379
3.72,243.957218223387,8.83650409190298,250.85268453305,0.630687591122903,-1.2,-0.01,-0.7,379
3.73,244.168119622796,8.83650409190298,250.731875073407,0.630687591122903,-1.2,-0.01,-0.7,379
3.74,244.393054399753,8.83650409190298,250.609294617339,0.630687591122903,-1.2,-0.01,-0.7,379
3.75,244.628177398297,8.83650409190298,250.484956115304,0.630687591122903,-1.2,-0.01,-0.7,379
3.76,244.869213524687,8.83650409190298,250.358872025685,0.630687591122903,-1.2,-0.01,-0.7,379
3.77,245.111786155242,8.83650409190298,250.231054335986,0.630687591122903,-1.2,-0.01,-0.7,379
3.776,245.256290784278,13.8415159192275,250.153536452785,0.630687591122903,-1.2,-0.01,-0.7,379
3.78,245.351649606289,13.8415159192275,250.101514582937,0.630687591122903,-1.2,-0.01,-0.7,379
3.79,245.584735597716,13.8415159192275,249.970263871565,0.630687591122903,-1.2,-0.01,-0.7,379
3.8,245.806898351596,13.8415159192275,249.837312893306,0.630687591122903,-1.2,-0.01,-0.7,379
